Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,Coined.Word,Sender_Name,Sender_Title,Closing_Remarks,Sender_Email ,Logo,To
['Rockwell kent - Outlook E - Just the ticket: # JKf1SB3YW5 for @ atomic number 19 * * * * edu.'],"['confirm with microsift, account']","June 25th, 2019",1.44am,tue,link,confirm,Y,na,['atomic number 11'],na,Microsoft,B
['Staff Rating. docx'],['mental faculty evaluation'],"June 25th, 2019",10.49am,tue,file ,evaluation,Y,ITS service,['sodium'],na,microsoft ward,NB
['Miss Call'],['shout out missed'],"ÊJune 21st, 2019",1.54pm,fri,na,na,na,na,['sodium'],na,na,B
['TESTi1'],"['english speaking editor, professional templet, decline']","juen 20, 2019",5.24.03om EDT,na,na,"editor, service",Y,na,"['Best Regard,']",na,na,NB
['ÊClustered Alarm ID 130423046'],['some pending subject matter'],"June 20th, 2019",11.39am,thur,access message,alert,Y,na,"['Best Regard,']",Y,microsoft,B
['Approved Job Go'],['selected for shadow shopper review'],"June 20th, 2019",11.39am,thur,apply here now,"approve, offer, ",Y,na,['Warm Respect'],na,shadowshopper,B
"['Agriculture Section shared "" Text file "" with you.']",['inner dept shared papers'],"ÊJune 20th, 2019",10.24.01 am,thur,open,"shared, document",Y,na,['atomic number 11'],na,Microsoft,B
['Advertise While Drive Your Car'],['line opportuniies and looking for prospect'],"June 19th, 2019",1.27pm,wed,na,"hiring, ",na,na,['sodium'],na,na,B
['Payroll Changes make was successful'],['chnages in paysheet information'],"ÊJune 17th, 2019",4.19pm,mon,payroll verification,"payroll, changes, access, authenticated",na,na,['Thank you'],na,na,B
['Office 6 / xvii / 2019 11: fifty six: 18 embody'],['office 465 subscription exrired and. Validation stuff'],"June 17th, 2019",5.57am,mon,confirm now,"expire, request,subscritption, validation",Y,na,['atomic number 11'],na,Office 365,B
['Office 365 Password Astir To Expire'],['office 465 subscription exrired and. Establishment stuff'],"June 17th, 2019",8.08pm,mon,offcie 365 Admin center,"expire, password, subscription, hold",Y,office 365 Customer Service,['Thank you'],Y,offcie 365,B
['Information. docx'],['file has been share In docx'],"June 17th, 2019",11.50am,mon,file ,"file, share,docx",Y,na,['sodium'],na,docx,B
"['Assalamualaikum My Dear Friend,']","['politiics, legal iisues to retire, one thousand thousand doller to savings bank, net profit']","ÊJune 17th, 2019",3.11pm,mon,na,"profit, bank, dollar, million, confirmation",Y,na,['thank with my best regards'],na,na,B
['ÊYou throw (15) notification substance from your staff admin'],['notification message from module admin'],"June 14th, 2019",11.59am,fri,blackboard faculty admin,"notification, admin, faculty",Y,Y,['Thanks'],Y,na,B
['Verification Required: Validate Service Petition for Kent'],['email update ask and confirm now'],"June 13th, 2019",1.06pm,thur,office365 account team,"update, required, confirm, disable, suspense, ",Y,Y,['Thanks'],Y,offcie 365,B
"['Account Natural process Petition on 13 June, 2019']",['magnolia state account activation and validation'],"June 13th, 2019",12.50pm,thur,validate now,"activation, validate, immidiate, request",Y,Y,['Regrads'],Y,microsoft,B
['Audio_Message from ext. 4783'],['audio recording'],"June 12th, 2019",11.16am,wed,na,na,Y,Y,['sodium'],Y,na,B
['rockwell kent. edu Email Deactivation Asking'],['made request to deactivate your account'],"June 11th, 2019",10.50om,tue,na,"deactivate,request",Y,Y,['Give thanks you'],Y,na,B
['ÊMissed Shout'],['phoner left a message for you'],"June 11th, 2019",1.12 PM,tue,na,message,na,na,['sodium'],na,na,B
['Ane BRING CALVARY GREETNG FROM mrs.. SUZAN BONI.'],['money for cancer diagnosied'],"June 11th, 2019",8.35am,tue,na,"cancer, diseases, ",na,na,['sodium'],na,na,B
['please update ppayment'],"['update payment and payment worsen,']","June 10th, 2019",8.50am,mon,update payment information,"decline, update, payment, failed",Y,Y,['Randomness. incerely'],Y,na,B
['Study Code of Conduct'],['oeuvre demeanor for employee in an innovation'],"June 3rd, 2019",7.36pm,mon,na,"HR, code, employment",Y,Y,"['Respect,']",Y,na,B
['Incoming Email issues'],['email issues from place 365'],"June 3rd, 2019",7.48am,mon,follow simple steps,"issues, email, account,recover, hold",y,y,['sincerely yours'],Y,Office365,B
['ÊYour PayPal Payment Reception of $ 649. ninety nine to * * MCAFEE LLC'],"['statement of defrayal, transaction details and logarithm into PayPal account']","June 2nd, 2019",8.39.55am EDT,na,manage or cancel subscritption,"transaction, payment, account",Y,Y,['atomic number 11'],Y,PayPal,B
['Pet Sitter Need'],"['Atomic number 53 need someone to look after my darling, $ 350 weekly']","May 29th, 2019",5.53 pm,wed,na,"needed, ad, ",Y,Y,"['Thanks,']",Y,na,B
['lncoming email rejected'],['offi e 365 comprise ineffectual to deliver'],"May 24th, 2019",1.34pm,fri,Retrieve message,"rejected, unable,",Y,Y,['atomic number 11'],Y,na,B
['Update i.d.: Review Message'],['demand to formalize account'],"ÊMay 23rd, 2019",7.40om GMT,na,confirm now,"validate, request,update",Y,Y,['sodium'],Y,na,B
['We Require Your Confirmation'],['monetary fund in spot that we like to make some clarification'],"May 22nd, 2019",7.42.13 am,wed,na,"confirmation, ",Y,Y,['Yours in Servic'],Y,na,B
['Electronic mail Security Alert'],['email storage exceeded the bound and pauperism to upgrade immidiately.'],"May 22nd, 2019",8.36 am,wed,URL Redacted,"exceeded, upgraded, alert, secuirty, data lost,immidiately",Y,Y,['sodium'],Y,na,B
['Doc___gn Meet: ScannedAgreementDOC012. Pdf'],['doc divvy up'],"May 21st, 2019",3.30pm,tue,Review Document,shared,Y,Y,"['Thank you,']",Y,Docx,B
['Employment Chance'],"['personal assistant, utilisation chance']","May 20th, 2019",8.17pm,mon,na,"employment, immidiately",Y,Y,['Thank you'],Y,na,B
['Puppy Baby sitter:'],['penury puppy sitter'],"ÊMay 16th, 2019",7.47am,thur,na,"employment, ",Y,Y,['sodium'],Y,na,B
['Defrayment receipt'],['remittance advice for requital'],"May 16th, 2019",12.20pm,thur,file ,payment,Y,Y,['sodium'],Y,na,B
['ÊBusiness / Partnership'],['deal and interest in business organization'],"May 10th, 2019",1.13am,fri,na,benefits,Y,Y,['Truly'],Y,na,B
['SCAN5655'],['shared single file'],"ÊMay 9th, 2019",12.00pm,thur,open doc,share,Y,Y,['sodium'],Y,na,B
['FW: Action at law Required: Update your defrayal information nowadays'],['requital against office 365 subscription was fail'],"May 8th, 2019",9.04pm,wed,URL Redacted,"failed, subscription, payment,admin, update,remove,request",Y,Y,['Attentiveness'],Y,na,B
['ÊFW: Natural action Required: Update your payment information directly'],['defrayal declined for office 365'],"May 8th, 2019",7.52pm,wed,update your payment information,"update, declined, payment, ",na,na,"['Sincerely yours,']",na,na,B
['Referable Account 10355697 From Cortland Line Company'],"['file share about invoice, financial']","May 6th, 2019",12.04 pm,mon,file ,"invoice, payment",Y,Y,['sodium'],na,na,B
['Aid'],"['donating, drawing success']","May 4th, 2019",1.30 am,na,na,"pay, money",Y,Y,['atomic number 11'],Y,na,B
['KSU Email Notification'],['email notice regarding fedaral law violation and personal identity and verification'],"May 3rd, 2019",6.09PM,Fri,URL Redacted,"verificationerror, violates, ",Y,Y,"['Sincerely yours,']",Y,na,B
"['ÊDear Web - mail Substance abuser,']","['remail pending for database upgrade, validate emial accounting']","ÊMay 3rd, 2019",6.39PM,fri,na,"validate, required, upgrade, ",Y,Y,['Thanks'],Y,na,B
['Remittance Payment Advice'],['attched payment detail'],"May 2nd, 2019",12.42pm,thur,ACH-Payment.PDf,payment,na,na,['Regard'],na,na,B
['Nancy Smith is inviting you to join forces on Labor Docs'],['Project doc'],"May 2nd, 2019",11.15.53am,thur,pdf ,"project, education",na,na,['Thanks'],na,Microsoft,B
['Project LR342 Citation Request'],"['projection work share, coaction']","ÊMay 1st, 2019",7.14am,wed,link,"peoject, education, request",na,na,['sodium'],na,na,B
['ÊPet Sitter Job'],['book of job pet sitter'],"ÊMay 1st, 2019",11.53am,wed,na,employment,na,na,['sodium'],na,na,B
"['Kent Validation Postulation on May 01, 2019, 03: 00 AM']","['secuirty update, recommend to formalize']","ÊMay 1st, 2019",03.00am,wed,validate now,"security, validate, request",Y,Y,['Respect'],Y,Microsofr,B
['( ane) Your account statement ingest be limited. ID: # R5131. 6D9R406MH'],['agency account get limited for defrayal failing'],"April 30th, 2019",5.12.30pm,tue,sign in to customer portal,"limited, validate, account,failed,transaction",Y,Y,"['Good Regards,']",Y,office 365,B
['ADVICE OF DEBIT - money box CONFIDENTIAL'],['schedule payment in bank in personal checkin write up'],"April 29th, 2019",12.03pm,mon,URL Redacted,"payment,account, confidential",Y,Y,"['Respectfully yours,']",Y,na,B
['Substance - Fourth dimension 0: 55 Moment'],['ausio attach with radio link'],"ÊApril 26th, 2019",1.23,fri,play,na,Y,Y,['atomic number 11'],Y,na,B
['ÊKent Admin # O38A3S #'],['required account inspection process'],"April 26th, 2019",2.37pm,Fri,confirm now,"mandatory, acount, require, admin, incorrect",Y,Y,['sodium'],Y,Microsoft,B
['Invoice for Divine service'],['invoiced for complete work'],"ÊApril 26th, 2019",12.00pm,fri,URL Redacted,"invoice, payment",Y,Y,['sodium'],Y,na,B
['P_nd_ng Document'],['onedrive pending doc'],"ÊApril 25th, 2019",10.20am,thur,view document,document,y,Y,['sodium'],Y,na,B
['Ê [grandness] Login Review Required On Kent Email Account'],['verify password for login pause'],"ÊApril 25th, 2019",10.15.29am EDT,na,confirm now,"verify, account,interruption",Y,Y,['sodium'],Y,Microsoft,B
['ÊPaperWorks'],['text file sharepoint'],"April 23rd, 2019",2.41pm,tue,nview document,"share, education, ",Y,Y,"['Sincerely yours,']",na,sSharePoint,B
"['Kent Request Produce on 23 Apr, 2019 i.d.: # 5KGI6T #']","['Imputable to call for, you created idaho, we demand to validate']","ÊApril 23rd, 2019",10.57am,Tue,confirm now,"validate, request,",Y,Y,['sodium'],Y,Microsoft,B
"[""ray: You ' re astir to lose access to your Office subscription""]",['subscription offcie 365'],"April 22nd, 2019",2.03am edt,na,renew now,"subscription, disable, access, admin, payment",Y,Y,['atomic number 11'],Y,Office365,B
['( single) Failed to process your Deferred payment Card'],['credir posting process failure'],"April 17th, 2019",5.56pm,wed,sign in to customer portal,"finance, payment, transaction, invoice, failed, ",Y,Y,"['Best Gaze,']",Y,offcie 365,B
['Easiest agency to arrogate $ 1000?'],['clain money by watch videos'],"April 17th, 2019",12.47pm EDT,na,click here to watch the instructional video,"clain, money, ",,,['nan river'],,,
['The Dwyer Group N0TlFlCATl0N'],['share document'],"April 16th, 2019",11.55am,tue,open,"notification, share",Y,Y,['atomic number 11'],Y,na,B
"['ÊJason Down shared "" Proposal_ (unity) "" with you.']",['doc share'],"April 16th, 2019",12.52pm,tue,open,"share, doc, education",Y,Y,['sodium'],Y,Microsoft,B
"['Rockwell kent Service U_d_t_ 15 April, 2019 RefID: XYO2OH']",['corroborate account'],"April 16th, 2019",3.22pm,tue,confirm now,"share, validate, account, deactivate",Y,Y,['sodium'],Y,na,B
['ÊKent Request Create'],['validating electronic mail account'],"April 16th, 2019",4.23am,tue,confirm now,"validate, account, request",Y,Y,['atomic number 11'],Y,na,B
['NEED URGENT quotation'],['cargo need to shio from your country to china asap'],"  April 15th, 2019",5.10am,mon,na,urgent,na,na,['atomic number 11'],na,na,B
['Paysheet'],['attach document for payroll'],"ÊApril 11th, 2019",7.17pm,thur,URL Redacted,"tax, payroll, doc",Y,Y,['atomic number 11'],Y,na,B
['ÊCoaching service'],['coaching overhaul available'],"April 10th, 2019",11.30am,wed,na,service,Y,Y,['Thanks'],Y,na,B
['content ALERT'],['doc and audio recording'],"April 10th, 2019",10.22am,wed,apen attch to play/view message,"doc, share, alert",Y,Y,['sodium'],Y,SharePoint,B
['A document take in been sent to you via eÄ_x Online'],['Document sent online'],"April 9th, 2019",11.35am,tue,clickhere,"share, sent, access, document",na,na,['sodium'],na,eFax,B
['ÊInitial Completion Disclosure - Escrow # 7258300 / 3061 Vaughn Street'],['cipher message'],"April 9th, 2019",2.28pm,tue,click here to open,encrypted,na,na,['sodium'],na,na,B
['Server Telling for Kent Alert'],['host detect undelivered emals. Malfucntions and termination'],"April 8th, 2019",5.55am,mon,na,"active, termination, alert, notification, required, malfunction",Y,Y,['sodium'],Y,na,B
['content notification'],['pdf'],"April 8th, 2019",8.16pm,mon,download: Outstanding invoice.pdf,"notification, share, invoice, admin",Y,Y,['sodium'],Y,na,B
"['[ grandness] Password Confirmation Required On rockwell kent. edu April 5, 2019, 7: 29 PM Report Refrence Air combat command gem state: 35878U9LC8']","['matchless time confirmation, avoid login suspension, watchword verification']","April 5th, 2019",3.29pm,fri,confirm,"verification, interrution, account, required, avoid, confirmation",Y,Y,['atomic number 11'],Y,Microsoft,B
['ÊMarch Financial statement - Kent'],['payroll cause personify submitteed.'],"April 5th, 2019",5.18pm,fri,URL Redacted,"payroll, statement, admin",Y,Y,['sodium'],Y,na,B
['ÊRE: Your Power 365 Byplay Essentials Throwaway is ready'],"['office365 is quick. Defrayal, credit card']","April 4th, 2019",11.46am,thur,Sign in to customer portal,"account, payment,",Y,Y,['Thank you'],Y,offcie 365,B
['[ Important] Login Revaluation On Rockwell kent User'],['microsoft password limited review'],"ÊApril 2nd, 2019",12.53pm,tue,confirm now,"account, confirm, verification, interruptiom",Y,Y,['sodium'],Y,Microsoft,B
['New Facsimile machine Content Fax. com Report [11 ]'],['witness attachment'],"April 1st, 2019",1.30pm,mon,na,doc,Y,Y,['atomic number 11'],Y,na,B
['Coaching Enquiry'],['coaching my son'],"March 31st, 2019",11.02am,sun,na,"inquiry, employment",Y,Y,['Thanks'],Y,na,B
['Business'],['resume attach'],"March 30th, 2019",11.44am,sat,na,"job, employment",Y,Y,['atomic number 11'],Y,na,B
['From The Desk Of Mr William 100. Dudley'],"['union taciturnity bank, record of spectacular payment with federal political science,']","March 30th, 2019",11.18am,sat,na,"payment, bank, federal, requested",Y,Y,"['Sincerely yours,']",Y,na,B
['New facsimile machine from: Fax Table service. ...'],['new facsimile machine'],"March 29th, 2019",8.57am,fri,fead your fax,"enclosed, processed, received",na,na,['sodium'],na,na,B
