Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,Coined.Word,Sender_Name,Sender_Title,Closing_Remarks,Sender_Email ,Logo,To,email_text
['ÊMissed Call'],['caller left a subject matter for you'],"June 11th, 2019",1.12 PM,tue,na,message,na,na,['atomic number 11'],na,na,B,missed call caller left a subject matter for you
['Single BRING CALVARY GREETNG FROM MRS. SUZAN BONI.'],['money for genus cancer diagnosied'],"June 11th, 2019",8.35am,tue,na,"cancer, diseases, ",na,na,['sodium'],na,na,B,single bring calvary greetng from mrs suzan boni money for genus cancer diagnosied
['delight update ppayment'],"['update defrayal and payment declined,']","June 10th, 2019",8.50am,mon,update payment information,"decline, update, payment, failed",Y,Y,['Siemens. incerely'],Y,na,B,delight update ppayment update defrayal and payment declined
['Piece of work Codification of Conduct'],['workplace conduct for employee in an institution'],"June 3rd, 2019",7.36pm,mon,na,"HR, code, employment",Y,Y,"['Esteem,']",Y,na,B,piece of work codification of conduct workplace conduct for employee in an institution
['Incoming Email issue'],['email issuance from bureau 365'],"June 3rd, 2019",7.48am,mon,follow simple steps,"issues, email, account,recover, hold",y,y,['unfeignedly'],Y,Office365,B,incoming email issue email issuance from bureau 
['ÊYour PayPal Payment Reception of $ 649. ninety nine to * * MCAFEE LLC'],"['assertion of defrayment, transaction details and logarithm into PayPal story']","June 2nd, 2019",8.39.55am EDT,na,manage or cancel subscritption,"transaction, payment, account",Y,Y,['atomic number 11'],Y,PayPal,B,your paypal payment reception of   ninety nine to   mcafee llc assertion of defrayment transaction details and logarithm into paypal story
['Pet Sitter Demand'],"['I need person to look after my pet, $ 350 hebdomadary']","May 29th, 2019",5.53 pm,wed,na,"needed, ad, ",Y,Y,"['Thanks,']",Y,na,B,pet sitter demand i need person to look after my pet   hebdomadary
['lncoming e mail rejected'],['offi e 365 be unable to deliver'],"May 24th, 2019",1.34pm,fri,Retrieve message,"rejected, unable,",Y,Y,['sodium'],Y,na,B,lncoming e mail rejected offi e  be unable to deliver
['Update idaho: Followup Message'],['need to corroborate accounting'],"ÊMay 23rd, 2019",7.40om GMT,na,confirm now,"validate, request,update",Y,Y,['atomic number 11'],Y,na,B,update idaho followup message need to corroborate accounting
['We Demand Your Verification'],['fund in office that we like to make some clearing'],"May 22nd, 2019",7.42.13 am,wed,na,"confirmation, ",Y,Y,['Yours in Servic'],Y,na,B,we demand your verification fund in office that we like to make some clearing
['Email Security Alarum'],['email storage outperform the terminal point and need to upgrade immidiately.'],"May 22nd, 2019",8.36 am,wed,URL Redacted,"exceeded, upgraded, alert, secuirty, data lost,immidiately",Y,Y,['atomic number 11'],Y,na,B,email security alarum email storage outperform the terminal point and need to upgrade immidiately
['Doc___gn Welcome: ScannedAgreementDOC012. Pdf'],['medico shared'],"May 21st, 2019",3.30pm,tue,Review Document,shared,Y,Y,"['Thank you,']",Y,Docx,B,docgn welcome scannedagreementdoc pdf medico shared
['Employment Chance'],"['personal helper, employment chance']","May 20th, 2019",8.17pm,mon,na,"employment, immidiately",Y,Y,['Thank you'],Y,na,B,employment chance personal helper employment chance
['ÊBusiness / Partnership'],['deal and interestingness in business'],"May 10th, 2019",1.13am,fri,na,benefits,Y,Y,['Unfeignedly'],Y,na,B,business  partnership deal and interestingness in business
['FW: Action mechanism Required: Update your payment entropy now'],['payment against business office 365 subscription was die'],"May 8th, 2019",9.04pm,wed,URL Redacted,"failed, subscription, payment,admin, update,remove,request",Y,Y,['Regard'],Y,na,B,fw action mechanism required update your payment entropy now payment against business office  subscription was die
['ÊFW: Activity Required: Update your payment information now'],['payment declined for authority 365'],"May 8th, 2019",7.52pm,wed,update your payment information,"update, declined, payment, ",na,na,"['Sincerely yours,']",na,na,B,fw activity required update your payment information now payment declined for authority 
['Due Invoice 10355697 From Cortland Cable Caller'],"['file partake in about invoices, fiscal']","May 6th, 2019",12.04 pm,mon,file ,"invoice, payment",Y,Y,['sodium'],na,na,B,due invoice  from cortland cable caller file partake in about invoices fiscal
['Aid'],"['donating, drawing winner']","May 4th, 2019",1.30 am,na,na,"pay, money",Y,Y,['sodium'],Y,na,B,aid donating drawing winner
['KSU Electronic mail Notification'],['email notification regarding fedaral practice of law trespass and identity and verification'],"May 3rd, 2019",6.09PM,Fri,URL Redacted,"verificationerror, violates, ",Y,Y,"['Unfeignedly,']",Y,na,B,ksu electronic mail notification email notification regarding fedaral practice of law trespass and identity and verification
"['ÊDear Web - chain armor Exploiter,']","['remail pending for database upgrade, formalise emial report']","ÊMay 3rd, 2019",6.39PM,fri,na,"validate, required, upgrade, ",Y,Y,['Thanks'],Y,na,B,dear web  chain armor exploiter remail pending for database upgrade formalise emial report
['Nancy Smith is invite you to collaborate on Project Dr.'],['Projection docs'],"May 2nd, 2019",11.15.53am,thur,pdf ,"project, education",na,na,['Thanks'],na,Microsoft,B,nancy smith is invite you to collaborate on project dr projection docs
['Project LR342 Quote Petition'],"['project workplace portion, collaboration']","ÊMay 1st, 2019",7.14am,wed,link,"peoject, education, request",na,na,['sodium'],na,na,B,project lr quote petition project workplace portion collaboration
['ÊPet Babysitter Job'],['job deary sitter'],"ÊMay 1st, 2019",11.53am,wed,na,employment,na,na,['atomic number 11'],na,na,B,pet babysitter job job deary sitter
"['Kent Validation Request on Crataegus laevigata 01, 2019, 03: 00 make up']","['secuirty update, recommend to formalise']","ÊMay 1st, 2019",03.00am,wed,validate now,"security, validate, request",Y,Y,['Wish'],Y,Microsofr,B,kent validation request on crataegus laevigata     make up secuirty update recommend to formalise
['( 1) Your account hold personify limited. gem state: # R5131. 6D9R406MH'],['spot account has confine for payment failing'],"April 30th, 2019",5.12.30pm,tue,sign in to customer portal,"limited, validate, account,failed,transaction",Y,Y,"['Well Regards,']",Y,office 365,B,  your account hold personify limited gem state  r drmh spot account has confine for payment failing
['Substance - Clip nought: 55 Seconds'],['ausio attached with tie'],"ÊApril 26th, 2019",1.23,fri,play,na,Y,Y,['sodium'],Y,na,B,substance  clip nought  seconds ausio attached with tie
['ÊKent Admin # O38A3S #'],['compulsory account review summons'],"April 26th, 2019",2.37pm,Fri,confirm now,"mandatory, acount, require, admin, incorrect",Y,Y,['sodium'],Y,Microsoft,B,kent admin  oas  compulsory account review summons
['Account for Service'],['invoice for completed work'],"ÊApril 26th, 2019",12.00pm,fri,URL Redacted,"invoice, payment",Y,Y,['atomic number 11'],Y,na,B,account for service invoice for completed work
['Ê [IMPORTANCE] Login Inspection Required On Rockwell kent Email Report'],['verify password for login interruption'],"ÊApril 25th, 2019",10.15.29am EDT,na,confirm now,"verify, account,interruption",Y,Y,['sodium'],Y,Microsoft,B, importance login inspection required on rockwell kent email report verify password for login interruption
"['Kent Request Created on twenty three Apr, 2019 ID: # 5KGI6T #']","['Ascribable to request, you make ID, we require to validate']","ÊApril 23rd, 2019",10.57am,Tue,confirm now,"validate, request,",Y,Y,['sodium'],Y,Microsoft,B,kent request created on twenty three apr  id  kgit  ascribable to request you make id we require to validate
['( 1) Neglect to litigate your Credit Card'],['credir carte du jour process failure'],"April 17th, 2019",5.56pm,wed,sign in to customer portal,"finance, payment, transaction, invoice, failed, ",Y,Y,"['Best Regard,']",Y,offcie 365,B,  neglect to litigate your credit card credir carte du jour process failure
['Easiest room to claim $ one thousand?'],['clain money by watch video'],"April 17th, 2019",12.47pm EDT,na,click here to watch the instructional video,"clain, money, ",Unknown,Unknown,['granny'],Unknown,Unknown,Unknown,easiest room to claim  one thousand clain money by watch video
['The Dwyer Group N0TlFlCATl0N'],['share document'],"April 16th, 2019",11.55am,tue,open,"notification, share",Y,Y,['sodium'],Y,na,B,the dwyer group ntlflcatln share document
